"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Alex Sobel","@alexsobel","Labour","Leeds North West",25943,6
"Alex Norris","@AlexNorrisNN","Labour","Nottingham North",8493,0
"Alex Davies-Jones","@AlexDaviesJones","Labour","Pontypridd",9678,6
"Alex Cunningham ","@ACunninghamMP","Labour","Stockton North",23590,1
"Alex Chalk ","@AlexChalkChelt","Conservative","Cheltenham",14229,-2
"Alex Burghart","@alexburghart","Conservative","Brentwood and Ongar",6397,-3
"Alec Shelbrooke ","@AlecShelbrooke","Conservative","Elmet and Rothwell",16282,-2
"Alberto Costa ","@AlbertoCostaMP","Conservative","South Leicestershire",10908,2
"Alan Mak ","@AlanMakMP","Conservative","Havant",10559,-1
"Alan Campbell ","@alancampbellmp","Labour","Tynemouth",7525,1
"Alan Brown ","@AlanBrownSNP","Scottish National Party","Kilmarnock and Loudoun",12851,0
"Afzal Khan","@Afzal4Gorton","Labour","Manchester, Gorton",34041,8
"Adam Afriyie ","@AdamAfriyie","Conservative","Windsor",17504,-1
"Abena Oppong-Asare","@abenaopp","Labour","Erith and Thamesmead",18744,-3
"Aaron Bell","@AaronBell4NUL","Conservative","Newcastle-under-Lyme",6783,4
